,0,1,2,3,4,5,6,7,8,9,10
312,"Tyranitar
","
","100
","134
","110
","95
","100
","61
","100,00
","23,67
","600
"
313,"Mega-Tyranitar
","
","100
","164
","150
","95
","120
","71
","116,67
","35,20
","700
"
314,"Lugia
","
","106
","90
","130
","90
","154
","110
","113,33
","24,84
","680
"
315,"Ho-Oh
","
","106
","130
","90
","110
","154
","90
","113,33
","24,84
","680
"
316,"Celebi
","
","100
","100
","100
","100
","100
","100
","100,00
","0,00
","600
"
317,"Treecko
","
","40
","45
","35
","65
","55
","70
","51,67
","14,02
","310
"
318,"Grovyle
","
","50
","65
","45
","85
","65
","95
","67,50
","19,43
","405
"
319,"Sceptile
","
","70
","85
","65
","105
","85
","120
","88,33
","20,90
","530
"
320,"Mega-Sceptile
","
","70
","110
","75
","145
","85
","145
","105,00
","33,91
","630
"
321,"Torchic
","
","45
","60
","40
","70
","50
","45
","51,67
","11,25
","310
"
322,"Combusken
","
","60
","85
","60
","85
","60
","55
","67,50
","13,69
","405
"
323,"Blaziken
","
","80
","120
","70
","110
","70
","80
","88,33
","21,37
","530
"
324,"Mega-Blaziken
","
","80
","160
","80
","130
","80
","100
","105,00
","33,32
","630
"
325,"Mudkip
","
","50
","70
","50
","50
","50
","40
","51,67
","9,83
","310
"
326,"Marshtomp
","
","70
","85
","70
","60
","70
","50
","67,50
","11,73
","405
"
327,"Swampert
","
","100
","110
","90
","85
","90
","60
","89,17
","16,86
","535
"
328,"Mega-Swampert
","
","100
","150
","110
","95
","110
","70
","105,83
","26,16
","635
"
329,"Poochyena
","
","35
","55
","35
","30
","30
","35
","36,67
","9,31
","220
"
330,"Mightyena
","
","70
","90
","70
","60
","60
","70
","70,00
","10,95
","420
"
331,"Zigzagoon
","
","38
","30
","41
","30
","41
","60
","40,00
","11,01
","240
"
332,"Zigzagoon de Galar
","
","38
","30
","41
","30
","41
","60
","40,00
","11,01
","240
"
333,"Linoone
","
","78
","70
","61
","50
","61
","100
","70,00
","17,47
","420
"
334,"Linoone de Galar
","
","78
","70
","61
","50
","61
","100
","70,00
","17,47
","420
"
335,"Wurmple
","
","45
","45
","35
","20
","30
","20
","32,50
","11,29
","195
"
336,"Silcoon
","
","50
","35
","55
","25
","25
","15
","34,17
","15,63
","205
"
337,"Beautifly
","
","60
","70
","50
","10024
","50
","65
","65,83
","18,55
","395
"
338,"Cascoon
","
","50
","35
","55
","25
","25
","15
","34,17
","15,63
","205
"
339,"Dustox
","
","60
","50
","70
","50
","90
","65
","64,17
","14,97
","385
"
340,"Lotad
","
","40
","30
","30
","40
","50
","30
","36,67
","8,16
","220
"
341,"Lombre
","
","60
","50
","50
","60
","70
","50
","56,67
","8,16
","340
"
342,"Ludicolo
","
","80
","70
","70
","90
","100
","70
","80,00
","12,65
","480
"
343,"Seedot
","
","40
","40
","50
","30
","30
","30
","36,67
","8,16
","220
"
344,"Nuzleaf
","
","70
","70
","40
","60
","40
","60
","56,67
","13,66
","340
"
345,"Shiftry
","
","90
","100
","60
","90
","60
","80
","80,00
","16,73
","480
"
346,"Taillow
","
","40
","55
","30
","30
","30
","85
","45,00
","21,91
","270
"
347,"Swellow
","
","60
","85
","60
","7522
","50
","125
","75,83
","27,10
","455
"
348,"Wingull
","
","40
","30
","30
","55
","30
","85
","45,00
","21,91
","270
"
349,"Pelipper
","
","60
","50
","100
","953
","70
","65
","73,33
","19,92
","440
"
350,"Ralts
","
","28
","25
","25
","45
","35
","40
","33,00
","8,37
","198
"
351,"Kirlia
","
","38
","35
","35
","65
","55
","50
","46,33
","12,36
","278
"
352,"Gardevoir
","
","68
","65
","65
","125
","115
","80
","86,33
","26,85
","518
"
353,"Mega-Gardevoir
","
","68
","85
","65
","165
","135
","100
","103,00
","39,67
","618
"
354,"Surskit
","
","40
","30
","32
","50
","52
","65
","44,83
","13,36
","269
"
355,"Masquerain
","
","70
","60
","62
","10011
","82
","8019
","75,67
","14,94
","454
"
356,"Shroomish
","
","60
","40
","60
","40
","60
","35
","49,17
","12,01
","295
"
357,"Breloom
","
","60
","130
","80
","60
","60
","70
","76,67
","27,33
","460
"
358,"Slakoth
","
","60
","60
","60
","35
","35
","30
","46,67
","14,72
","280
"
359,"Vigoroth
","
","80
","80
","80
","55
","55
","90
","73,33
","14,72
","440
"
360,"Slaking
","
","150
","160
","100
","95
","65
","100
","111,67
","36,15
","670
"
361,"Nincada
","
","31
","45
","90
","30
","30
","40
","44,33
","23,21
","266
"
362,"Ninjask
","
","61
","90
","45
","50
","50
","160
","76,00
","44,25
","456
"
363,"Shedinja
","
","1
","90
","45
","30
","30
","40
","39,33
","29,13
","236
"
364,"Whismur
","
","64
","51
","23
","51
","23
","28
","40,00
","17,55
","240
"
365,"Loudred
","
","84
","71
","43
","71
","43
","48
","60,00
","17,55
","360
"
366,"Exploud
","
","104
","91
","63
","91
","7325
","68
","81,67
","16,02
","490
"
367,"Makuhita
","
","72
","60
","30
","20
","30
","25
","39,50
","21,20
","237
"
368,"Hariyama
","
","144
","120
","60
","40
","60
","50
","79,00
","42,40
","474
"
369,"Azurill
","
","50
","20
","40
","20
","40
","20
","31,67
","13,29
","190
"
370,"Nosepass
","
","30
","45
","135
","45
","90
","30
","62,50
","41,80
","375
"
371,"Skitty
","
","50
","45
","45
","35
","35
","50
","43,33
","6,83
","260
"
372,"Delcatty
","
","70
","65
","65
","55
","55
","9026
","66,67
","12,91
","400
"
373,"Sableye
","
","50
","75
","75
","65
","65
","50
","63,33
","11,25
","380
"
374,"Mega-Sableye
","
","50
","85
","125
","85
","115
","20
","80,00
","39,50
","480
"
375,"Mawile
","
","50
","85
","85
","55
","55
","50
","63,33
","16,93
","380
"
376,"Mega-Mawile
","
","50
","105
","125
","55
","95
","50
","80,00
","32,56
","480
"
377,"Aron
","
","50
","70
","100
","40
","40
","30
","55,00
","25,88
","330
"
378,"Lairon
","
","60
","90
","140
","50
","50
","40
","71,67
","37,64
","430
"
379,"Aggron
","
","70
","110
","180
","60
","60
","50
","88,33
","49,56
","530
"
380,"Mega-Aggron
","
","70
","140
","230
","60
","80
","50
","105,00
","68,92
","630
"
381,"Meditite
","
","30
","40
","55
","40
","55
","60
","46,67
","11,69
","280
"
382,"Medicham
","
","60
","60
","75
","60
","75
","80
","68,33
","9,31
","410
"
383,"Mega-Medicham
","
","60
","100
","85
","80
","85
","100
","85,00
","14,83
","510
"
384,"Electrike
","
","40
","45
","40
","65
","40
","65
","49,17
","12,42
","295
"
385,"Manectric
","
","70
","75
","60
","105
","60
","105
","79,17
","20,84
","475
"
386,"Mega-Manectric
","
","70
","75
","80
","135
","80
","135
","95,83
","30,56
","575
"
387,"Plusle
","
","60
","50
","40
","85
","75
","95
","67,50
","21,15
","405
"
388,"Minun
","
","60
","40
","50
","75
","85
","95
","67,50
","21,15
","405
"
389,"Volbeat
","
","65
","73
","7523
","47
","8521
","85
","71,67
","14,29
","430
"
390,"Illumise
","
","65
","47
","7523
","73
","8521
","85
","71,67
","14,29
","430
"
391,"Roselia
","
","50
","60
","45
","100
","80
","65
","66,67
","20,41
","400
"
392,"Gulpin
","
","70
","43
","53
","43
","53
","40
","50,33
","11,09
","302
"
393,"Swalot
","
","100
","73
","83
","73
","83
","55
","77,83
","14,92
","467
"
394,"Carvanha
","
","45
","90
","20
","65
","20
","65
","50,83
","27,82
","305
"
395,"Sharpedo
","
","70
","120
","40
","95
","40
","95
","76,67
","32,51
","460
"
396,"Mega-Sharpedo
","
","70
","140
","70
","110
","65
","105
","93,33
","29,94
","560
"
397,"Wailmer
","
","130
","70
","35
","70
","35
","60
","66,67
","34,88
","400
"
398,"Wailord
","
","170
","90
","45
","90
","45
","60
","83,33
","47,08
","500
"
399,"Numel
","
","60
","60
","40
","65
","45
","35
","50,83
","12,42
","305
"
400,"Camerupt
","
","70
","100
","70
","105
","75
","40
","76,67
","23,59
","460
"
401,"Mega-Camerupt
","
","70
","120
","100
","145
","105
","20
","93,33
","43,55
","560
"
402,"Torkoal
","
","70
","85
","140
","85
","70
","20
","78,33
","38,56
","470
"
403,"Spoink
","
","60
","25
","35
","70
","80
","60
","55,00
","20,98
","330
"
404,"Grumpig
","
","80
","45
","65
","90
","110
","80
","78,33
","22,06
","470
"
405,"Spinda
","
","60
","60
","60
","60
","60
","60
","60,00
","0,00
","360
"
406,"Trapinch
","
","45
","100
","45
","45
","45
","10
","48,33
","28,93
","290
"
407,"Vibrava
","
","50
","70
","50
","50
","50
","70
","56,67
","10,33
","340
"
408,"Flygon
","
","80
","100
","80
","80
","80
","100
","86,67
","10,33
","520
"
409,"Cacnea
","
","50
","85
","40
","85
","40
","35
","55,83
","23,11
","335
"
410,"Cacturne
","
","70
","115
","60
","115
","60
","55
","79,17
","28,18
","475
"
411,"Swablu
","
","45
","40
","60
","40
","75
","50
","51,67
","13,66
","310
"
412,"Altaria
","
","75
","70
","90
","70
","105
","80
","81,67
","13,66
","490
"
413,"Mega-Altaria
","
","75
","110
","110
","110
","105
","80
","98,33
","16,33
","590
"
414,"Zangoose
","
","73
","115
","60
","60
","60
","90
","76,33
","22,33
","458
"
415,"Seviper
","
","73
","100
","60
","100
","60
","65
","76,33
","18,94
","458
"
416,"Lunatone
","
","9026
","55
","65
","95
","85
","70
","76,67
","15,71
","460
"
417,"Solrock
","
","9026
","95
","85
","55
","65
","70
","76,67
","15,71
","460
"
418,"Barboach
","
","50
","48
","43
","46
","41
","60
","48,00
","6,72
","288
"
419,"Whiscash
","
","110
","78
","73
","76
","71
","60
","78,00
","16,89
","468
"
420,"Corphish
","
","43
","80
","65
","50
","35
","35
","51,33
","17,96
","308
"
421,"Crawdaunt
","
","63
","120
","85
","90
","55
","55
","78,00
","25,46
","468
"
422,"Baltoy
","
","40
","40
","55
","40
","70
","55
","50,00
","12,25
","300
"
423,"Claydol
","
","60
","70
","105
","70
","120
","75
","83,33
","23,59
","500
"
424,"Lileep
","
","66
","41
","77
","61
","87
","23
","59,17
","23,58
","355
"
425,"Cradily
","
","86
","81
","97
","81
","107
","43
","82,50
","21,85
","495
"
426,"Anorith
","
","45
","95
","50
","40
","50
","75
","59,17
","21,31
","355
"
427,"Armaldo
","
","75
","125
","100
","70
","80
","45
","82,50
","27,34
","495
"
428,"Feebas
","
","20
","15
","20
","10
","55
","80
","33,33
","27,87
","200
"
429,"Milotic
","
","95
","60
","79
","100
","125
","81
","90,00
","22,14
","540
"
430,"Castform
","
","70
","70
","70
","70
","70
","70
","70,00
","0,00
","420
"
431,"Kecleon
","
","60
","90
","70
","60
","120
","40
","73,33
","28,05
","440
"
432,"Shuppet
","
","44
","75
","35
","63
","33
","45
","49,17
","16,52
","295
"
433,"Banette
","
","64
","115
","65
","83
","63
","65
","75,83
","20,61
","455
"
434,"Mega-Banette
","
","64
","165
","75
","93
","83
","75
","92,50
","36,80
","555
"
435,"Duskull
","
","20
","40
","90
","30
","90
","25
","49,17
","32,31
","295
"
436,"Dusclops
","
","40
","70
","130
","60
","130
","25
","75,83
","44,77
","455
"
437,"Tropius
","
","99
","68
","83
","72
","87
","51
","76,67
","16,74
","460
"
438,"Chimecho
","
","7515
","50
","8026
","95
","9011
","65
","75,83
","16,56
","455
"
439,"Absol
","
","65
","130
","60
","75
","60
","75
","77,50
","26,60
","465
"
440,"Mega-Absol
","
","65
","150
","60
","115
","60
","115
","94,17
","37,87
","565
"
441,"Wynaut
","
","95
","23
","48
","23
","48
","23
","43,33
","28,12
","260
"
442,"Snorunt
","
","50
","50
","50
","50
","50
","50
","50,00
","0,00
","300
"
443,"Glalie
","
","80
","80
","80
","80
","80
","80
","80,00
","0,00
","480
"
444,"Mega-Glalie
","
","80
","120
","80
","120
","80
","100
","96,67
","19,66
","580
"
445,"Spheal
","
","70
","40
","50
","55
","50
","25
","48,33
","15,06
","290
"
446,"Sealeo
","
","90
","60
","70
","75
","70
","45
","68,33
","15,06
","410
"
447,"Walrein
","
","110
","80
","90
","95
","90
","65
","88,33
","15,06
","530
"
448,"Clamperl
","
","35
","64
","85
","74
","55
","32
","57,50
","21,14
","345
"
449,"Huntail
","
","55
","104
","105
","94
","75
","52
","80,83
","23,78
","485
"
450,"Gorebyss
","
","55
","84
","105
","114
","75
","52
","80,83
","25,40
","485
"
451,"Relicanth
","
","100
","90
","130
","45
","65
","55
","80,83
","31,85
","485
"
452,"Luvdisc
","
","43
","30
","55
","40
","65
","97
","55,00
","23,91
","330
"
453,"Bagon
","
","45
","75
","60
","40
","30
","50
","50,00
","15,81
","300
"
454,"Shelgon
","
","65
","95
","100
","60
","50
","50
","70,00
","22,14
","420
"
455,"Salamence
","
","95
","135
","80
","110
","80
","100
","100,00
","20,74
","600
"
456,"Mega-Salamence
","
","95
","145
","130
","120
","90
","120
","116,67
","20,90
","700
"
457,"Beldum
","
","40
","55
","80
","35
","60
","30
","50,00
","18,71
","300
"
458,"Metang
","
","60
","75
","100
","55
","80
","50
","70,00
","18,71
","420
"
459,"Metagross
","
","80
","135
","130
","95
","90
","70
","100,00
","26,65
","600
"
460,"Mega-Metagross
","
","80
","145
","150
","105
","110
","110
","116,67
","26,39
","700
"
461,"Regirock
","
","80
","100
","200
","50
","100
","50
","96,67
","55,38
","580
"
462,"Regice
","
","80
","50
","100
","100
","200
","50
","96,67
","55,38
","580
"
463,"Registeel
","
","80
","75
","150
","75
","150
","50
","96,67
","42,62
","580
"
464,"Latias
","
","80
","80
","90
","110
","130
","110
","100,00
","20,00
","600
"
465,"Mega-Latias
","
","80
","100
","120
","140
","150
","110
","116,67
","25,82
","700
"
466,"Latios
","
","80
","90
","80
","130
","110
","110
","100,00
","20,00
","600
"
467,"Mega-Latios
","
","80
","130
","100
","160
","120
","110
","116,67
","27,33
","700
"
468,"Kyogre
","
","100
","100
","90
","150
","140
","90
","111,67
","26,39
","670
"
469,"Kyogre primigenio
","
","100
","150
","90
","180
","160
","90
","128,33
","39,71
","770
"
470,"Groudon
","
","100
","150
","140
","100
","90
","90
","111,67
","26,39
","670
"
471,"Groudon primigenio
","
","100
","180
","160
","150
","90
","90
","128,33
","39,71
","770
"
472,"Rayquaza
","
","105
","150
","90
","150
","90
","95
","113,33
","28,93
","680
"
473,"Mega-Rayquaza
","
","105
","180
","100
","180
","100
","115
","130,00
","39,12
","780
"
474,"Jirachi
","
","100
","100
","100
","100
","100
","100
","100,00
","0,00
","600
"
475,"Deoxys (forma normal)
","
","50
","150
","50
","150
","50
","150
","100,00
","54,77
","600
"
476,"Deoxys (forma ataque)
","
","50
","180
","20
","180
","20
","150
","100,00
","78,23
","600
"
477,"Deoxys (forma defensa)
","
","50
","70
","160
","70
","160
","90
","100,00
","48,17
","600
"
478,"Deoxys (forma velocidad)
","
","50
","95
","90
","95
","90
","180
","100,00
","42,78
","600
"
479,"Turtwig
","
","55
","68
","64
","45
","55
","31
","53,00
","13,43
","318
"
480,"Grotle
","
","75
","89
","85
","55
","65
","36
","67,50
","19,90
","405
"
481,"Torterra
","
","95
","109
","105
","75
","85
","56
","87,50
","19,90
","525
"
482,"Chimchar
","
","44
","58
","44
","58
","44
","61
","51,50
","8,29
","309
"
483,"Monferno
","
","64
","78
","52
","78
","52
","81
","67,50
","13,38
","405
"
484,"Infernape
","
","76
","104
","71
","104
","71
","108
","89,00
","18,04
","534
"
485,"Piplup
","
","53
","51
","53
","61
","56
","40
","52,33
","6,98
","314
"
486,"Prinplup
","
","64
","66
","68
","81
","76
","50
","67,50
","10,73
","405
"
487,"Empoleon
","
","84
","86
","88
","111
","101
","60
","88,33
","17,33
","530
"
488,"Starly
","
","40
","55
","30
","30
","30
","60
","40,83
","13,57
","245
"
489,"Staravia
","
","55
","75
","50
","40
","40
","80
","56,67
","17,22
","340
"
490,"Staraptor
","
","85
","120
","70
","50
","6020
","100
","80,83
","26,16
","485
"
491,"Bidoof
","
","59
","45
","40
","35
","40
","31
","41,67
","9,75
","250
"
492,"Bibarel
","
","79
","85
","60
","55
","60
","71
","68,33
","11,96
","410
"
493,"Kricketot
","
","37
","25
","41
","25
","41
","25
","32,33
","8,16
","194
"
494,"Kricketune
","
","77
","85
","51
","55
","51
","65
","64,00
","14,35
","384
"
495,"Shinx
","
","45
","65
","34
","40
","34
","45
","43,83
","11,48
","263
"
496,"Luxio
","
","60
","85
","49
","60
","49
","60
","60,50
","13,16
","363
"
497,"Luxray
","
","80
","120
","79
","95
","79
","70
","87,17
","17,99
","523
"
498,"Budew
","
","40
","30
","35
","50
","70
","55
","46,67
","14,72
","280
"
499,"Roserade
","
","60
","70
","6527
","125
","105
","90
","85,83
","25,58
","515
"
500,"Cranidos
","
","67
","125
","40
","30
","30
","58
","58,33
","35,95
","350
"
501,"Rampardos
","
","97
","165
","60
","65
","50
","58
","82,50
","43,56
","495
"
502,"Shieldon
","
","30
","42
","118
","42
","88
","30
","58,33
","36,27
","350
"
503,"Bastiodon
","
","60
","52
","168
","47
","138
","30
","82,50
","56,29
","495
"
504,"Burmy
","
","40
","29
","45
","29
","45
","36
","37,33
","7,28
","224
"
505,"Wormadam (tronco planta)
","
","60
","59
","85
","79
","105
","36
","70,67
","24,11
","424
"
506,"Wormadam (tronco arena)
","
","60
","79
","105
","59
","85
","36
","70,67
","24,11
","424
"
507,"Wormadam (tronco basura)
","
","60
","69
","95
","69
","95
","36
","70,67
","22,38
","424
"
508,"Mothim
","
","70
","94
","50
","94
","50
","66
","70,67
","19,83
","424
"
509,"Combee
","
","30
","30
","42
","30
","42
","70
","40,67
","15,53
","244
"
510,"Vespiquen
","
","70
","80
","102
","80
","102
","40
","79,00
","23,07
","474
"
511,"Pachirisu
","
","60
","45
","70
","45
","90
","95
","67,50
","21,62
","405
"
512,"Buizel
","
","55
","65
","35
","60
","30
","85
","55,00
","20,25
","330
"
513,"Floatzel
","
","85
","105
","55
","85
","50
","115
","82,50
","26,03
","495
"
514,"Cherubi
","
","45
","35
","45
","62
","53
","35
","45,83
","10,48
","275
"
515,"Cherrim
","
","70
","60
","70
","87
","78
","85
","75,00
","10,28
","450
"
516,"Cherrim (forma soleado)
","
","70
","90
","70
","87
","117
","85
","86,50
","17,26
","519
"
517,"Shellos
","
","76
","48
","48
","57
","62
","34
","54,17
","14,34
","325
"
518,"Gastrodon
","
","111
","83
","68
","92
","82
","39
","79,17
","24,24
","475
"
519,"Ambipom
","
","75
","100
","66
","60
","66
","115
","80,33
","22,10
","482
"
520,"Drifloon
","
","90
","50
","34
","60
","44
","70
","58,00
","20,04
","348
"
521,"Drifblim
","
","150
","80
","44
","90
","54
","80
","83,00
","37,20
","498
"
522,"Buneary
","
","55
","66
","44
","44
","56
","85
","58,33
","15,47
","350
"
523,"Lopunny
","
","65
","76
","84
","54
","96
","105
","80,00
","19,05
","480
"
524,"Mega-Lopunny
","
","65
","136
","94
","54
","96
","135
","96,67
","34,20
","580
"
525,"Mismagius
","
","60
","60
","60
","105
","105
","105
","82,50
","24,65
","495
"
526,"Honchkrow
","
","100
","125
","52
","105
","52
","71
","84,17
","30,31
","505
"
527,"Glameow
","
","49
","55
","42
","42
","37
","85
","51,67
","17,50
","310
"
528,"Purugly
","
","71
","82
","64
","64
","59
","112
","75,33
","19,65
","452
"
529,"Chingling
","
","45
","30
","50
","65
","50
","45
","47,50
","11,29
","285
"
530,"Stunky
","
","63
","63
","47
","41
","41
","74
","54,83
","13,75
","329
"
531,"Skuntank
","
","103
","93
","67
","71
","61
","84
","79,83
","16,28
","479
"
532,"Bronzor
","
","57
","24
","86
","24
","86
","23
","50,00
","30,73
","300
"
533,"Bronzong
","
","67
","89
","116
","79
","116
","33
","83,33
","31,58
","500
"
534,"Bonsly
","
","50
","80
","95
","10
","45
","10
","48,33
","35,02
","290
"
535,"Mime Jr.
","
","20
","25
","45
","70
","90
","60
","51,67
","26,96
","310
"
536,"Happiny
","
","100
","5
","5
","15
","65
","30
","36,67
","38,30
","220
"
537,"Chatot
","
","76
","65
","45
","92
","42
","91
","68,50
","21,82
","411
"
538,"Spiritomb
","
","50
","92
","108
","92
","108
","35
","80,83
","30,91
","485
"
539,"Gible
","
","58
","70
","45
","40
","45
","42
","50,00
","11,64
","300
"
540,"Gabite
","
","68
","90
","65
","50
","55
","82
","68,33
","15,37
","410
"
541,"Garchomp
","
","108
","130
","95
","80
","85
","102
","100,00
","17,99
","600
"
542,"Mega-Garchomp
","
","108
","170
","115
","120
","95
","92
","116,67
","28,32
","700
"
543,"Munchlax
","
","135
","85
","40
","40
","85
","5
","65,00
","45,93
","390
"
544,"Riolu
","
","40
","70
","40
","35
","40
","60
","47,50
","14,05
","285
"
545,"Lucario
","
","70
","110
","70
","115
","70
","90
","87,50
","20,92
","525
"
546,"Mega-Lucario
","
","70
","145
","88
","140
","70
","112
","104,17
","33,49
","625
"
547,"Hippopotas
","
","68
","72
","78
","38
","42
","32
","55,00
","19,87
","330
"
548,"Hippowdon
","
","108
","112
","118
","68
","72
","47
","87,50
","29,02
","525
"
549,"Skorupi
","
","40
","50
","90
","30
","55
","65
","55,00
","20,98
","330
"
550,"Drapion
","
","70
","90
","110
","60
","75
","95
","83,33
","18,35
","500
"
551,"Croagunk
","
","48
","61
","40
","61
","40
","50
","50,00
","9,44
","300
"
552,"Toxicroak
","
","83
","106
","65
","86
","65
","85
","81,67
","15,36
","490
"
553,"Carnivine
","
","74
","100
","72
","90
","72
","46
","75,67
","18,48
","454
"
554,"Finneon
","
","49
","49
","56
","49
","61
","66
","55,00
","7,29
","330
"
555,"Lumineon
","
","69
","69
","76
","69
","86
","91
","76,67
","9,69
","460
"
556,"Mantyke
","
","45
","20
","50
","60
","120
","50
","57,50
","33,43
","345
"
557,"Snover
","
","60
","62
","50
","62
","60
","40
","55,67
","8,89
","334
"
558,"Abomasnow
","
","90
","92
","75
","92
","85
","60
","82,33
","12,69
","494
"
559,"Mega-Abomasnow
","
","90
","132
","105
","132
","105
","30
","99,00
","37,66
","594
"
560,"Weavile
","
","70
","120
","65
","45
","85
","125
","85,00
","31,78
","510
"
561,"Magnezone
","
","70
","70
","115
","130
","90
","60
","89,17
","28,00
","535
"
562,"Lickilicky
","
","110
","85
","95
","80
","95
","50
","85,83
","20,35
","515
"
563,"Rhyperior
","
","115
","140
","130
","55
","55
","40
","89,17
","43,98
","535
"
564,"Tangrowth
","
","100
","100
","125
","110
","50
","50
","89,17
","31,69
","535
"
565,"Electivire
","
","75
","123
","67
","95
","85
","95
","90,00
","19,59
","540
"
566,"Magmortar
","
","75
","95
","67
","125
","95
","83
","90,00
","20,39
","540
"
567,"Togekiss
","
","85
","50
","95
","120
","115
","80
","90,83
","25,58
","545
"
568,"Yanmega
","
","86
","76
","86
","116
","56
","95
","85,83
","19,90
","515
"
569,"Leafeon
","
","65
","110
","130
","60
","65
","95
","87,50
","28,77
","525
"
570,"Glaceon
","
","65
","60
","110
","130
","95
","65
","87,50
","28,77
","525
"
571,"Gliscor
","
","75
","95
","125
","45
","75
","95
","85,00
","26,83
","510
"
572,"Mamoswine
","
","110
","130
","80
","70
","60
","80
","88,33
","26,39
","530
"
573,"Porygon-Z
","
","85
","80
","70
","135
","75
","90
","89,17
","23,54
","535
"
574,"Gallade
","
","68
","125
","65
","65
","115
","80
","86,33
","26,85
","518
"
575,"Mega-Gallade
","
","68
","165
","95
","65
","115
","110
","103,00
","36,80
","618
"
576,"Probopass
","
","60
","55
","145
","75
","150
","40
","87,50
","47,83
","525
"
577,"Dusknoir
","
","45
","100
","135
","65
","135
","45
","87,50
","41,92
","525
"
578,"Froslass
","
","70
","80
","70
","80
","70
","110
","80,00
","15,49
","480
"
579,"Rotom (forma normal)
","
","50
","50
","77
","95
","77
","91
","73,33
","19,48
","440
"
580,"Rotom (forma lavado)
","
","50
","65
","107
","105
","107
","86
","86,67
","24,40
","520
"
581,"Rotom (forma calor)
","
","50
","65
","107
","105
","107
","86
","86,67
","24,40
","520
"
582,"Rotom (forma corte)
","
","50
","65
","107
","105
","107
","86
","86,67
","24,40
","520
"
583,"Rotom (forma ventilador)
","
","50
","65
","107
","105
","107
","86
","86,67
","24,40
","520
"
584,"Rotom (forma frío)
","
","50
","65
","107
","105
","107
","86
","86,67
","24,40
","520
"
585,"Uxie
","
","75
","75
","130
","75
","130
","95
","96,67
","26,96
","580
"
586,"Mesprit
","
","80
","105
","105
","105
","105
","80
","96,67
","12,91
","580
"
587,"Azelf
","
","75
","125
","70
","125
","70
","115
","96,67
","27,69
","580
"
588,"Dialga (forma modificada)
","
","100
","120
","120
","150
","100
","90
","113,33
","21,60
","680
"
589,"Dialga (forma origen)
","
","100
","100
","120
","150
","120
","90
","113,33
","21,60
","680
"
590,"Palkia (forma modificada)
","
","90
","120
","100
","150
","120
","100
","113,33
","21,60
","680
"
591,"Palkia (forma origen)
","
","90
","100
","100
","150
","120
","120
","113,33
","21,60
","680
"
592,"Heatran
","
","91
","90
","106
","130
","106
","77
","100,00
","18,34
","600
"
593,"Regigigas
","
","110
","160
","110
","80
","110
","100
","111,67
","26,39
","670
"
594,"Giratina (forma modificada)
","
","150
","100
","120
","100
","120
","90
","113,33
","21,60
","680
"
595,"Giratina (forma origen)
","
","150
","120
","100
","120
","100
","90
","113,33
","21,60
","680
"
596,"Cresselia
","
","120
","70
","11028
","75
","12029
","85
","96,67
","22,73
","580
"
597,"Phione
","
","80
","80
","80
","80
","80
","80
","80,00
","0,00
","480
"
598,"Manaphy
","
","100
","100
","100
","100
","100
","100
","100,00
","0,00
","600
"
599,"Darkrai
","
","70
","90
","90
","135
","90
","125
","100,00
","24,70
","600
"
600,"Shaymin (forma tierra)
","
","100
","100
","100
","100
","100
","100
","100,00
","0,00
","600
"
601,"Shaymin (forma cielo)
","
","100
","103
","75
","120
","75
","127
","100,00
","21,85
","600
"
602,"Arceus
","
","120
","120
","120
","120
","120
","120
","120,00
","0,00
","720
"
603,"Victini
","
","100
","100
","100
","100
","100
","100
","100,00
","0,00
","600
"
604,"Snivy
","
","45
","45
","55
","45
","55
","63
","51,33
","7,53
","308
"
605,"Servine
","
","60
","60
","75
","60
","75
","83
","68,83
","10,11
","413
"
606,"Serperior
","
","75
","75
","95
","75
","95
","113
","88,00
","15,68
","528
"
607,"Tepig
","
","65
","63
","45
","45
","45
","45
","51,33
","9,83
","308
"
608,"Pignite
","
","90
","93
","55
","70
","55
","55
","69,67
","17,91
","418
"
609,"Emboar
","
","110
","123
","65
","100
","65
","65
","88,00
","26,23
","528
"
610,"Oshawott
","
","55
","55
","45
","63
","45
","45
","51,33
","7,53
","308
"
611,"Dewott
","
","75
","75
","60
","83
","60
","60
","68,83
","10,11
","413
"
612,"Samurott
","
","95
","100
","85
","108
","70
","70
","88,00
","15,81
","528
"
613,"Samurott de Hisui
","
","90
","108
","80
","100
","65
","85
","88,00
","15,17
","528
"
614,"Patrat
","
","45
","55
","39
","35
","39
","42
","42,50
","6,98
","255
"
615,"Watchog
","
","60
","85
","69
","60
","69
","77
","70,00
","9,76
","420
"
616,"Lillipup
","
","45
","60
","45
","25
","45
","55
","45,83
","12,01
","275
"
617,"Herdier
","
","65
","80
","65
","35
","65
","60
","61,67
","14,72
","370
"
618,"Stoutland
","
","85
","11030
","90
","45
","90
","80
","83,33
","21,37
","500
"
619,"Purrloin
","
","41
","50
","37
","50
","37
","66
","46,83
","11,09
","281
"
620,"Liepard
","
","64
","88
","50
","88
","50
","106
","74,33
","23,10
","446
"
621,"Pansage
","
","50
","53
","48
","53
","48
","64
","52,67
","5,99
","316
"
622,"Simisage
","
","75
","98
","63
","98
","63
","101
","83,00
","18,10
","498
"
623,"Pansear
","
","50
","53
","48
","53
","48
","64
","52,67
","5,99
","316
"
624,"Simisear
","
","75
","98
","63
","98
","63
","101
","83,00
","18,10
","498
"
625,"Panpour
","
","50
","53
","48
","53
","48
","64
","52,67
","5,99
","316
"
